91 50.381 86.39 47.986 ccp01.equalityFault1
92 50.605 86.232 45.004 cruise_controller_24.arithmeticFault2
93 50.766 84.07 42.86 ccp03.relationalFault4
94 51.208 87.602 43.014 cruise_controller_24.constantFault0
95 51.232 85.89 47.832 ccp01.relationalFault4
96 51.293 73.674 50.736 ccp02.booleanFault1
97 51.424 79.246 49.137 ccp02.booleanFault2
98 51.622 91.258 46.056 cruise_controller_12.arithmeticFault3
99 51.791 85.971 47.533 ccp02.constantFault1
100 52.188 84.085 43.276 ccp01.constantFault0
101 52.518 87.159 50.488 ccp01.equalityFault0
102 52.84 85.751 48.027 ccp01.booleanFault4
103 53.469 86.349 44.588 ccp02.equalityFault1
104 53.823 86.699 46.326 ccp01.relationalFault1
105 55.402 87.129 50.241 ccp01.arithmeticFault1
106 55.83 60.791 64.919 microwave19.booleanFault4
107 57.267 86.056 50.416 ccp01.constantFault1
108 57.298 86.36 49.274 ccp01.booleanFault0
109 57.684 108.663 40.635 microwave24.relationalFault4
110 59.832 58.237 47.918 ccp03.equalityFault1
111 59.934 95.212 31.762 cruise_controller_01.booleanFault3
112 62.791 87.236 45.104 cruise_controller_12.relationalFault4
113 64.568 110.744 72.333 microwave29.arithmeticFault3
114 64.854 84.793 45.669 ccp02.relationalFault0
115 66.011 81.331 43.221 ccp03.constantFault0
116 69.439 83.74 44.106 ccp03.arithmeticFault1
117 69.599 87.158 43.439 cruise_controller_24.booleanFault0
118 70.651 86.032 45.303 cruise_controller_24.arithmeticFault0
119 71.129 84.735 47.268 ccp02.relationalFault2
120 71.183 87.77 44.933 cruise_controller_12.arithmeticFault4
121 71.86 85.947 44.372 cruise_controller_24.equalityFault0
122 72.91 156.206 90.131 cruise_controller_12.booleanFault2
123 72.926 87.92 43.638 cruise_controller_24.booleanFault3
124 73.322 124.434 74.874 GPCA_SW-property23.arithmeticFault3
125 73.37 124.867 75.549 GPCA_SW-property23.relationalFault0
