1 97.3 99.24
2 201.03 214.27
3 217.67 315.45
4 235.18 436.97
5 250.06 552.97
6 261.36 669.09
7 269.24 786.97
8 274.27 893.45
9 277.7 1002.67
10 280.73 1114.82
11 284.48 1235.03
12 289.33 1350.06
13 293.48 1463.73
14 295.97 1573
15 297.85 1684.27
16 299.94 1795.24
17 301.91 1907.79
18 304.06 2018.64
19 305.82 2128.82
20 307.85 2239.33
21 309.67 2349.42
22 310.91 2459.3
23 312.58 2569.52
24 314.12 2679.18
25 315.58 2788
26 317.06 2897.27
27 318.3 3006.94
28 319.3 3115.33
29 319.88 3223.45
30 320.61 3331.39
31 321.88 3440
32 323.33 3549.7
33 324.48 3659.36
34 325.27 3768.79
35 326.27 3878.18
36 328.91 3987.97
37 330.48 4098.15
38 331.73 4208.15
39 332.82 4317.09
40 333.39 4427.58
41 333.88 4538.18
42 334.94 4649.09
43 335.36 4761.06
44 336.33 4872.94
45 337.42 4983.7
46 338.03 5095.42
47 338.97 5204.76
48 339.03 5315.94
49 339.55 5427.88
50 340.24 5539.12
51 340.79 5649.36
52 341.39 5761.42
53 342.36 5871.33
54 342.76 5982.39
55 343.12 6093.64
56 343.45 6205.7
57 343.79 6316.36
58 344.39 6428.39
59 345.21 6540.55
60 345.94 6652
61 346.58 6763.61
62 347.15 6874.88
63 347.61 6987.06
64 349 7098.97
65 349.76 7211.67
66 350.39 7324.15
67 351.3 7436.73
68 351.85 7548.67
69 352.18 7661.73
70 353.33 7774.82
